Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,total_Max_Porch_Area,total_Porch
337,20,RL,86.0,14157,Pave,nan,IR1,HLS,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,7,5,PConc,10,5,4,10.0,1249.0,2.0,0.0,673.0,1922.0,GasA,10,1,5.0,1922,0,0,1922,1.0,0.0,2,0,3,1,7,8,10,1,Gd,Attchd,2005.0,5,3.0,676.0,5,5,3,178,51,0,0,0,0,0,0,nan,0,7,2007,WD,Normal,377426,229,229
338,20,RL,70.0,9135,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,7,5,PConc,7,5,3,10.0,810.0,2.0,0.0,726.0,1536.0,GasA,10,1,5.0,1536,0,0,1536,1.0,0.0,2,0,3,1,7,7,10,0,nan,Attchd,2002.0,3,2.0,532.0,5,5,3,192,74,0,0,0,0,0,0,nan,0,12,2008,WD,Normal,214000,266,266
339,20,RL,91.0,14145,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,7,1984,1998,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,7,5,CBlock,7,5,2,5.0,213.0,2.0,0.0,995.0,1208.0,GasA,10,1,5.0,1621,0,0,1621,1.0,0.0,2,0,3,1,7,8,10,0,nan,Attchd,1984.0,3,2.0,440.0,5,5,3,108,45,0,0,0,0,0,0,Shed,400,5,2006,WD,Normal,202500,153,153
340,20,RL,66.0,12400,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,7,1958,1998,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,176.0,5,5,CBlock,5,3,1,5.5,585.0,2.0,0.0,630.0,1215.0,GasA,5,1,3.0,1215,0,0,1215,0.0,0.0,1,0,3,1,5,6,10,0,nan,Attchd,1958.0,2,1.0,297.0,5,5,3,0,0,0,0,234,0,0,0,nan,0,6,2009,WD,Normal,155000,234,234
341,60,RL,85.0,14191,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,7,5,PConc,7,5,1,2.0,0.0,2.0,0.0,967.0,967.0,GasA,10,1,5.0,993,915,0,1908,0.0,0.0,2,1,4,1,7,9,10,0,nan,Attchd,2002.0,5,2.0,431.0,5,5,3,135,0,0,0,0,0,0,0,nan,0,4,2010,WD,Normal,202900,135,135
342,20,RH,60.0,8400,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,None,0.0,3,3,CBlock,5,3,1,2.0,0.0,2.0,0.0,721.0,721.0,GasA,7,1,5.0,841,0,0,841,0.0,0.0,1,0,2,1,5,4,10,0,nan,CarPort,1950.0,2,1.0,294.0,5,5,2,250,0,24,0,0,0,0,0,nan,0,9,2009,WD,Normal,82000,274,274
343,90,RL,,8544,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,3,4,1949,1950,Gable,CompShg,Stucco,Stucco,BrkFace,340.0,5,5,Slab,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Wall,3,0,3.0,1040,0,0,1040,0.0,0.0,2,0,2,2,5,6,10,0,nan,Detchd,1949.0,2,2.0,400.0,5,5,3,0,0,0,0,0,0,0,0,nan,0,5,2006,WD,Normal,87500,0,0
344,120,RL,63.0,8849,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,616.0,10,5,PConc,10,5,1,10.0,28.0,2.0,0.0,1656.0,1684.0,GasA,10,1,5.0,1684,0,0,1684,0.0,0.0,2,0,2,1,10,6,10,1,Ex,Attchd,2005.0,3,2.0,564.0,5,5,3,495,72,0,0,0,0,0,0,nan,0,7,2008,WD,Normal,266000,567,567
345,160,RM,36.0,2592,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,3,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,5,5,CBlock,7,5,1,5.5,129.0,3.0,232.0,175.0,536.0,GasA,5,1,5.0,536,576,0,1112,0.0,0.0,1,1,3,1,5,4,10,0,nan,Attchd,1976.0,2,1.0,336.0,5,5,3,182,0,0,0,0,0,0,0,nan,0,4,2010,WD,Normal,85000,182,182
346,50,RL,65.0,6435,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,6,5,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,5,BrkTil,5,5,1,2.0,0.0,2.0,0.0,972.0,972.0,GasA,7,1,5.0,972,605,0,1577,0.0,0.0,1,0,3,1,3,6,10,1,Gd,Detchd,1939.0,2,1.0,312.0,5,5,3,0,0,0,0,0,0,0,0,nan,0,10,2006,WD,Normal,140200,0,0
347,20,RL,,12772,Pave,nan,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1960,1998,Hip,CompShg,MetalSd,MetalSd,None,0.0,5,7,CBlock,5,5,2,3.0,498.0,2.0,0.0,460.0,958.0,GasA,5,1,5.0,958,0,0,958,0.0,0.0,1,0,2,1,5,5,10,0,nan,Attchd,1960.0,3,1.0,301.0,5,5,3,0,0,0,0,0,0,0,0,Gar2,15500,4,2007,WD,Normal,151500,0,0
348,20,RL,,17600,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,30.0,5,5,CBlock,5,5,1,3.0,1270.0,2.0,0.0,208.0,1478.0,GasA,10,1,3.0,1478,0,0,1478,1.0,0.0,2,0,3,1,5,6,10,2,Gd,Attchd,1960.0,2,2.0,498.0,5,5,3,0,40,0,0,0,0,0,0,nan,0,12,2009,WD,Normal,157500,40,40
349,160,RL,36.0,2448,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,7,5,PConc,7,5,1,10.0,573.0,2.0,0.0,191.0,764.0,GasA,10,1,5.0,764,862,0,1626,1.0,0.0,2,1,2,1,7,6,10,0,nan,BuiltIn,2003.0,3,2.0,474.0,5,5,3,0,27,0,0,0,0,0,0,nan,0,10,2008,WD,Normal,154000,27,27
350,60,RL,56.0,20431,Pave,nan,IR2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,870.0,10,5,PConc,10,5,1,10.0,1410.0,2.0,0.0,438.0,1848.0,GasA,10,1,5.0,1848,880,0,2728,1.0,0.0,2,1,4,1,10,10,10,2,Ex,Attchd,2006.0,5,3.0,706.0,5,5,3,0,0,0,0,0,0,0,0,nan,0,4,2006,New,Partial,437154,0,0
351,120,RL,68.0,7820,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2007,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,362.0,10,5,PConc,10,5,1,2.0,0.0,2.0,0.0,1869.0,1869.0,GasA,10,1,5.0,1869,0,0,1869,0.0,0.0,2,0,2,1,10,6,10,1,Gd,Attchd,2007.0,3,2.0,617.0,5,5,3,210,54,0,0,0,0,0,0,nan,0,12,2007,New,Partial,318061,264,264
352,120,RL,,5271,Pave,nan,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1986,1986,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,5,5,PConc,7,5,4,10.0,1082.0,2.0,0.0,371.0,1453.0,GasA,7,1,5.0,1453,0,0,1453,1.0,0.0,1,1,2,1,7,6,10,1,TA,Attchd,1986.0,3,2.0,445.0,5,5,3,0,80,0,0,184,0,0,0,nan,0,12,2006,WD,Abnorml,190000,264,264
353,50,RL,60.0,9084,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,5,CBlock,5,3,2,1.0,236.0,5.5,380.0,0.0,616.0,GasA,5,0,5.0,616,495,0,1111,0.0,1.0,1,0,3,1,5,5,10,0,nan,Detchd,1941.0,2,1.0,200.0,5,3,3,48,0,0,0,0,0,0,0,nan,0,3,2008,ConLw,Normal,95000,48,48
354,30,RM,60.0,8520,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1928,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,7,BrkTil,5,5,1,2.0,0.0,2.0,0.0,624.0,624.0,GasA,7,1,5.0,720,0,0,720,0.0,0.0,1,0,2,1,5,5,10,0,nan,Detchd,2005.0,2,2.0,484.0,5,5,3,106,0,0,0,0,0,0,0,nan,0,5,2010,WD,Normal,105900,106,106
355,50,RL,60.0,8400,Pave,nan,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1940,2000,Gable,CompShg,Wd Sdng,MetalSd,None,0.0,5,5,CBlock,5,5,1,1.0,388.0,2.0,0.0,552.0,940.0,GasA,10,1,5.0,1192,403,0,1595,0.0,0.0,1,0,2,1,5,6,10,2,Gd,Attchd,1940.0,2,1.0,240.0,5,5,3,0,0,108,0,0,0,0,0,nan,0,6,2006,WD,Normal,140000,108,108
356,20,RL,105.0,11249,Pave,nan,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,7,7,PConc,7,7,1,5.0,334.0,3.0,544.0,322.0,1200.0,GasA,10,1,5.0,1200,0,0,1200,1.0,0.0,2,0,3,1,7,6,10,0,nan,Attchd,1995.0,3,2.0,521.0,5,5,3,0,26,0,0,0,0,0,0,nan,0,8,2007,WD,Normal,177500,26,26
357,20,RL,,9248,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,106.0,5,5,PConc,7,5,1,10.0,560.0,2.0,0.0,598.0,1158.0,GasA,7,1,5.0,1167,0,0,1167,1.0,0.0,2,0,3,1,7,6,10,0,nan,Attchd,1992.0,3,2.0,400.0,5,5,3,120,26,0,0,0,0,0,0,nan,0,7,2009,WD,Normal,173000,146,146
358,120,RM,44.0,4224,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,5,5,PConc,7,5,1,5.0,874.0,2.0,0.0,268.0,1142.0,GasA,5,1,5.0,1142,0,0,1142,1.0,0.0,1,1,3,1,5,6,10,1,Po,Attchd,1976.0,5,2.0,528.0,5,5,3,536,90,0,0,0,0,0,3,nan,0,8,2007,WD,Normal,134000,626,626
359,80,RL,92.0,6930,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,5,4,1958,1958,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,120.0,5,5,CBlock,5,5,3,3.0,300.0,5.5,294.0,468.0,1062.0,GasA,10,1,4.0,1352,0,0,1352,0.0,1.0,1,0,3,1,7,6,6,0,nan,BuiltIn,1958.0,2,1.0,288.0,5,5,3,168,0,294,0,0,0,0,0,nan,0,7,2006,WD,Abnorml,130000,462,462
360,60,RL,78.0,12011,Pave,nan,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,530.0,7,5,PConc,7,5,3,10.0,956.0,2.0,0.0,130.0,1086.0,GasA,10,1,5.0,1086,838,0,1924,1.0,0.0,2,1,3,1,7,7,10,1,TA,Attchd,1998.0,3,2.0,592.0,5,5,3,208,75,0,0,374,0,0,0,nan,0,6,2006,WD,Normal,280000,657,657
361,85,RL,,7540,Pave,nan,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,6,6,1978,1978,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,5,CBlock,7,5,3,10.0,773.0,2.0,0.0,115.0,888.0,GasA,10,1,5.0,912,0,0,912,1.0,0.0,1,0,2,1,5,5,10,1,TA,Attchd,1978.0,3,2.0,470.0,5,5,3,0,0,0,0,192,0,0,3,nan,0,6,2007,WD,Normal,156000,192,192
362,50,RL,,9144,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1940,1982,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,5,CBlock,5,5,1,5.5,399.0,2.0,0.0,484.0,883.0,GasA,7,1,5.0,988,517,0,1505,1.0,0.0,1,0,3,1,5,8,10,0,nan,Detchd,1940.0,2,1.0,240.0,5,5,2,0,0,0,0,0,0,0,0,nan,0,7,2008,WD,Normal,145000,0,0
363,85,RL,64.0,7301,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,7,5,Slab,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,10,1,5.0,495,1427,0,1922,0.0,0.0,3,0,4,1,7,7,10,1,Ex,BuiltIn,2003.0,3,2.0,672.0,5,5,3,0,0,177,0,0,0,0,0,nan,0,7,2009,ConLD,Normal,198500,177,177
364,160,RM,21.0,1680,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,8,1972,2007,Gable,CompShg,HdBoard,HdBoard,BrkFace,510.0,5,5,CBlock,5,5,1,5.0,162.0,2.0,0.0,321.0,483.0,GasA,7,1,5.0,483,504,0,987,0.0,0.0,1,1,2,1,7,5,10,0,nan,Detchd,1972.0,2,1.0,264.0,5,5,3,250,0,0,0,0,0,0,0,nan,0,5,2009,WD,Normal,118000,250,250
365,60,RL,,18800,Pave,nan,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,5,5,PConc,7,5,2,10.0,712.0,2.0,0.0,84.0,796.0,GasA,5,1,5.0,790,784,0,1574,1.0,0.0,2,1,3,1,5,6,10,1,TA,Attchd,1976.0,5,2.0,566.0,5,5,3,306,111,0,0,0,0,0,0,nan,0,7,2006,WD,Normal,190000,417,417
366,70,RM,59.0,10690,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,7,1920,1997,Hip,CompShg,VinylSd,VinylSd,None,0.0,5,7,CBlock,5,3,1,5.5,456.0,2.0,0.0,216.0,672.0,GasA,7,1,3.0,672,672,0,1344,0.0,0.0,1,0,3,1,5,6,10,0,nan,Detchd,1964.0,2,1.0,468.0,5,3,3,0,128,218,0,0,0,0,0,nan,0,7,2009,WD,Normal,147000,346,346
367,20,RL,,9500,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,5,5,CBlock,7,5,1,3.0,609.0,2.0,0.0,785.0,1394.0,GasA,7,1,5.0,1394,0,0,1394,1.0,0.0,1,1,3,1,5,6,10,2,Gd,Attchd,1963.0,3,2.0,514.0,5,5,3,0,76,0,0,185,0,0,0,nan,0,7,2009,WD,Normal,159000,261,261
368,80,RL,101.0,9150,Pave,nan,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,1962,1962,Gable,Tar&Grv,Plywood,Plywood,BrkFace,305.0,5,5,CBlock,7,5,4,10.0,371.0,2.0,0.0,728.0,1099.0,GasA,7,1,5.0,1431,0,0,1431,0.0,1.0,1,0,3,1,5,6,10,1,Gd,Basment,1962.0,3,1.0,296.0,5,5,3,64,110,0,0,0,0,0,0,nan,0,12,2008,WD,Normal,165000,174,174
369,20,RL,78.0,7800,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,HdBoard,HdBoard,BrkFace,200.0,5,5,PConc,5,5,1,1.0,540.0,2.0,0.0,728.0,1268.0,GasA,7,1,5.0,1268,0,0,1268,0.0,0.0,1,0,2,1,5,7,10,1,Gd,Attchd,1954.0,5,1.0,244.0,5,5,3,0,98,0,0,0,0,0,0,nan,0,3,2010,WD,Normal,132000,98,98
370,20,RL,,9830,Pave,nan,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,5,7,CBlock,5,5,1,5.0,72.0,5.5,258.0,733.0,1063.0,GasA,10,1,5.0,1287,0,0,1287,1.0,0.0,1,0,3,1,7,7,10,1,Gd,Detchd,1997.0,5,2.0,576.0,5,5,3,364,17,0,0,182,0,0,0,nan,0,3,2010,WD,Normal,162000,563,563
371,60,RL,,8121,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,5,PConc,7,5,1,2.0,0.0,2.0,0.0,953.0,953.0,GasA,10,1,5.0,953,711,0,1664,0.0,0.0,2,1,3,1,5,7,10,1,TA,Attchd,2000.0,3,2.0,460.0,5,5,3,100,40,0,0,0,0,0,0,nan,0,1,2006,WD,Normal,172400,140,140
372,50,RL,80.0,17120,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,4,1959,1959,Gable,CompShg,WdShing,Plywood,None,0.0,5,5,CBlock,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,5,1,5.0,1120,468,0,1588,0.0,0.0,2,0,4,1,5,7,6,1,Gd,Detchd,1991.0,5,2.0,680.0,5,5,2,0,59,0,0,0,0,0,0,nan,0,7,2008,WD,Normal,134432,59,59
373,120,RL,50.0,7175,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1984,1984,Gable,CompShg,Plywood,Plywood,None,0.0,5,5,CBlock,7,5,1,5.0,623.0,1.0,121.0,0.0,744.0,GasA,5,1,5.0,752,0,0,752,1.0,0.0,1,0,2,1,5,4,10,0,nan,Attchd,1984.0,2,1.0,264.0,5,5,3,353,0,0,0,90,0,0,3,nan,0,2,2010,WD,Normal,125000,443,443
374,20,RL,79.0,10634,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,5,PConc,5,5,1,3.0,428.0,1.0,180.0,0.0,608.0,GasA,5,1,5.0,1319,0,0,1319,1.0,0.0,1,0,3,1,5,5,6,0,nan,Attchd,1953.0,2,1.0,270.0,5,5,3,66,0,0,0,0,0,0,5,nan,0,11,2009,WD,Normal,123000,66,66
375,60,RL,65.0,8200,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,7,5,PConc,7,5,1,2.0,0.0,2.0,0.0,847.0,847.0,GasA,10,1,5.0,847,1081,0,1928,0.0,0.0,2,1,4,1,7,8,10,1,Gd,BuiltIn,2003.0,5,2.0,434.0,5,5,3,100,48,0,0,0,0,0,0,nan,0,7,2007,WD,Normal,219500,148,148
376,30,RL,,10020,Pave,nan,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,1,4,3.0,350.0,2.0,0.0,333.0,683.0,GasA,7,0,3.0,904,0,0,904,1.0,0.0,0,1,1,1,3,4,3,0,nan,nan,,0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,nan,0,3,2009,WD,Normal,61000,0,0
377,85,RL,57.0,8846,Pave,nan,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,7,5,PConc,7,5,3,10.0,298.0,2.0,0.0,572.0,870.0,GasA,10,1,5.0,914,0,0,914,0.0,0.0,1,0,2,1,5,5,10,0,nan,Detchd,1998.0,2,2.0,576.0,5,5,3,0,0,0,0,0,0,0,0,nan,0,7,2006,WD,Normal,148000,0,0
378,60,FV,102.0,11143,Pave,nan,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,7,5,PConc,7,5,1,2.0,0.0,2.0,0.0,1580.0,1580.0,GasA,10,1,5.0,1580,886,0,2466,0.0,0.0,3,0,4,1,7,8,10,1,Gd,Attchd,2004.0,3,2.0,610.0,5,5,3,159,214,0,0,0,0,0,0,nan,0,12,2007,WD,Normal,340000,373,373
379,20,RL,88.0,11394,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,7,5,PConc,10,5,3,10.0,1445.0,2.0,0.0,411.0,1856.0,GasA,10,1,5.0,1856,0,0,1856,1.0,0.0,1,1,1,1,10,8,10,1,Ex,Attchd,2010.0,5,3.0,834.0,5,5,3,113,0,0,0,0,0,0,0,nan,0,6,2010,New,Partial,394432,113,113
380,60,RL,60.0,8123,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,5,5,PConc,7,5,1,2.0,0.0,2.0,0.0,982.0,982.0,GasA,10,1,5.0,1007,793,0,1800,0.0,0.0,2,1,3,1,5,7,10,1,TA,Attchd,2000.0,5,2.0,463.0,5,5,3,100,63,0,0,0,0,0,0,nan,0,6,2009,WD,Normal,179000,163,163
381,50,RL,50.0,5000,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,6,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,5,5,BrkTil,5,5,1,1.0,218.0,2.0,0.0,808.0,1026.0,GasA,5,1,5.0,1026,665,0,1691,0.0,0.0,2,0,3,1,7,6,10,1,Gd,Detchd,1924.0,2,1.0,308.0,5,5,3,0,0,242,0,0,0,0,0,nan,0,5,2010,WD,Normal,127000,242,242
382,20,FV,60.0,7200,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,7,5,PConc,7,7,1,2.0,0.0,2.0,0.0,1293.0,1293.0,GasA,10,1,5.0,1301,0,0,1301,1.0,0.0,2,0,2,1,7,5,10,1,Gd,Attchd,2006.0,3,2.0,572.0,5,5,3,216,121,0,0,0,0,0,0,nan,0,8,2006,New,Partial,187750,337,337
383,60,RL,79.0,9245,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,7,5,PConc,7,5,3,2.0,0.0,2.0,0.0,939.0,939.0,GasA,10,1,5.0,939,858,0,1797,0.0,0.0,2,1,3,1,7,8,10,0,nan,Attchd,2006.0,3,2.0,639.0,5,5,3,144,53,0,0,0,0,0,0,nan,0,4,2007,WD,Normal,213500,197,197
384,45,RH,60.0,9000,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,5,5,BrkTil,3,3,1,2.0,0.0,2.0,0.0,784.0,784.0,GasA,5,0,3.0,784,0,0,784,0.0,0.0,1,0,2,1,5,5,10,0,nan,Detchd,1950.0,2,2.0,360.0,3,3,2,0,0,91,0,0,0,0,0,nan,0,10,2009,WD,Normal,76000,91,91
385,60,RL,,53107,Pave,nan,IR2,Low,AllPub,Corner,Mod,ClearCr,Feedr,Norm,1Fam,2Story,6,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,7,5,PConc,7,5,3,10.0,985.0,2.0,0.0,595.0,1580.0,GasA,10,1,5.0,1079,874,0,1953,1.0,0.0,2,1,3,1,7,9,10,2,Fa,Attchd,1992.0,5,2.0,501.0,5,5,3,216,231,0,0,0,0,0,0,nan,0,6,2007,WD,Normal,240000,447,447
386,120,RL,43.0,3182,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,7,5,PConc,7,5,1,10.0,24.0,2.0,0.0,1232.0,1256.0,GasA,10,1,5.0,1269,0,0,1269,0.0,0.0,2,0,2,1,7,6,10,1,TA,Attchd,2004.0,5,2.0,430.0,5,5,3,146,20,0,0,144,0,0,0,nan,0,4,2010,WD,Normal,192000,310,310
387,50,RL,58.0,8410,Pave,nan,Reg,Lvl,AllPub,FR2,Gtl,Edwards,Feedr,Norm,1Fam,1.5Fin,5,3,1910,1996,Gambrel,CompShg,Wd Sdng,VinylSd,None,0.0,5,3,PConc,5,5,1,2.0,0.0,2.0,0.0,658.0,658.0,GasA,5,1,5.0,658,526,0,1184,0.0,0.0,1,0,5,1,5,8,10,0,nan,nan,,0,0.0,0.0,0,0,2,0,151,0,0,0,0,0,0,nan,0,5,2006,WD,AdjLand,81000,151,151
